Wall time,Step,Value
1767040308.795893,1,3.706313371658325
1767040561.7021046,2,3.298089027404785
1767040752.8974638,3,3.069694757461548
1767040925.699839,4,2.8801567554473877
1767041119.2245452,5,2.773815631866455
1767041295.1518183,6,2.781876564025879
1767041471.1489844,7,2.779228448867798
1767041617.1984594,8,2.826554536819458
1767041761.7407076,9,2.7908971309661865
1767041939.8242629,10,2.763228178024292
1767042132.2217782,11,2.7579586505889893
1767042277.1061742,12,2.746124505996704
1767042416.4720106,13,2.68707013130188
1767042536.46588,14,2.7749083042144775
1767042696.2865787,15,2.70560622215271
1767042879.0512846,16,2.6901564598083496
1767043051.4753315,17,2.6884710788726807
1767043214.3120723,18,2.734449863433838
1767043352.7950943,19,2.6843161582946777
1767043496.6998205,20,2.7261362075805664
1767043670.3238788,21,2.671222686767578
1767043819.0335019,22,2.677534341812134
1767043937.5133336,23,2.6795449256896973
1767044071.7286005,24,2.7175397872924805
1767044214.4914327,25,2.6310477256774902
1767044391.3992658,26,2.705343246459961
1767044529.7025988,27,2.6475937366485596
1767044677.582378,28,2.7129757404327393
1767044838.1190703,29,2.6657509803771973
1767044986.196752,30,2.6474788188934326
1767045126.0205455,31,2.6371536254882812
1767045292.6751497,32,2.6519265174865723
1767045457.634351,33,2.606886863708496
1767045580.149601,34,2.6600053310394287
1767045728.7494185,35,2.617788553237915
1767045847.907876,36,2.618581771850586
1767045996.6834204,37,2.6528539657592773
1767046162.7005436,38,2.6191766262054443
1767046309.959421,39,2.5857999324798584
1767046461.6418998,40,2.643293619155884
1767046597.7579267,41,2.6139719486236572
1767046721.4964006,42,2.6292598247528076
1767046866.7220943,43,2.643852472305298
1767046999.0663986,44,2.6653268337249756
1767047133.5482662,45,2.5899887084960938
1767047249.4567795,46,2.5803472995758057
1767047368.1784365,47,2.603628158569336
1767047482.5693376,48,2.607954978942871
1767047583.1808217,49,2.6300759315490723
1767047709.994462,50,2.593020439147949
1767047832.3692896,51,2.6344151496887207
1767047986.4427512,52,2.6185736656188965
1767048123.328786,53,2.623131275177002
1767048264.4300127,54,2.606656551361084
1767048406.9411058,55,2.647247552871704
1767048551.9696841,56,2.5830166339874268
1767048686.1424086,57,2.6101839542388916
1767048817.21948,58,2.6136279106140137
1767048942.625812,59,2.617568254470825
1767049070.4265482,60,2.608881711959839
1767049214.2505012,61,2.6537604331970215
1767049331.3827512,62,2.6558592319488525
1767049485.5287793,63,2.615457534790039
1767049604.8142772,64,2.6149919033050537
1767049730.9370906,65,2.568682909011841
1767049859.7411985,66,2.5979933738708496
1767049958.8257465,67,2.5669825077056885
1767050076.2484825,68,2.5782980918884277
1767050201.8449621,69,2.610905408859253
1767050305.211709,70,2.621636152267456
1767050418.765312,71,2.6308770179748535
1767050537.7314994,72,2.6080992221832275
1767050661.8821397,73,2.6205947399139404
1767050766.6687381,74,2.6761763095855713
1767050897.572976,75,2.542513608932495
1767051031.8977551,76,2.6403849124908447
1767051148.959795,77,2.550579071044922
1767051289.5378227,78,2.583484411239624
1767051415.1417136,79,2.606926679611206
1767051525.6591852,80,2.526857614517212
1767051635.8413358,81,2.579756259918213
1767051781.830552,82,2.6085190773010254
1767051880.5600743,83,2.5993270874023438
1767052021.9559798,84,2.630784034729004
1767052130.1558132,85,2.552093267440796
1767052294.5709784,86,2.5754926204681396
1767052422.6290576,87,2.562955856323242
1767052549.9844077,88,2.588315963745117
1767052675.9225676,89,2.5906028747558594
1767052783.2909768,90,2.6069788932800293
1767052923.9261477,91,2.5805227756500244
1767053049.664381,92,2.6012113094329834
1767053174.4203854,93,2.6045684814453125
1767053280.8190095,94,2.561828136444092
1767053438.5378444,95,2.53037166595459
1767053597.284128,96,2.5743770599365234
1767053755.3905282,97,2.5752205848693848
1767053897.5277064,98,2.6435348987579346
1767054054.260878,99,2.618657112121582
1767054188.8482563,100,2.5743463039398193
